date,gdp,consumption_total,consumption_nondurables,consumption_durables,consumption_services,business_investment,residential_investment,inventory_change,government_total,government_federal,government_state_local,net_exports,exports,imports
2013:Q2,17709.7,11848.1,2463.7,1081.5,8322.6,2207.6,603.0,79.5,3288.9,1295.9,1993.1,-319.5,2170.1,2489.6
2013:Q3,17860.5,11896.3,2482.7,1091.3,8339.9,2248.2,614.0,137.3,3272.8,1277.8,1995.1,-318.8,2188.7,2507.5
2013:Q4,18016.1,12001.0,2506.7,1102.5,8408.9,2302.2,604.2,121.4,3247.6,1256.0,1991.6,-275.6,2251.8,2527.3
2014:Q1,17954.0,12044.2,2514.7,1121.0,8423.2,2339.4,601.6,58.3,3233.6,1254.9,1978.8,-329.7,2230.2,2559.9
2014:Q2,18185.9,12159.9,2540.3,1162.8,8466.5,2406.4,621.4,92.8,3238.0,1247.7,1990.3,-339.9,2278.4,2618.2
2014:Q3,18406.9,12280.1,2561.8,1183.0,8544.3,2458.5,630.8,106.0,3259.9,1262.1,1997.9,-335.4,2287.8,2623.2
2014:Q4,18500.0,12421.6,2592.4,1205.8,8631.2,2479.9,653.4,83.2,3257.5,1243.1,2014.4,-385.3,2306.7,2692.0
2015:Q1,18666.6,12516.9,2618.2,1228.9,8675.8,2481.1,666.3,169.4,3277.2,1248.0,2029.1,-443.6,2288.5,2732.1
2015:Q2,18782.2,12603.1,2634.0,1253.7,8719.8,2498.4,684.1,145.3,3309.3,1251.9,2057.3,-458.9,2294.6,2753.5
2015:Q3,18857.4,12691.8,2661.6,1270.1,8763.4,2513.6,705.6,120.3,3326.8,1250.8,2075.9,-496.2,2276.1,2772.3
2015:Q4,18892.2,12743.4,2671.7,1278.3,8796.5,2502.5,716.6,99.6,3341.1,1260.2,2080.8,-507.1,2273.0,2780.1
2016:Q1,19001.7,12839.6,2696.7,1295.3,8850.1,2504.6,739.0,62.4,3371.6,1261.1,2110.5,-510.3,2266.5,2776.8
2016:Q2,19062.7,12903.3,2720.4,1306.3,8878.6,2525.9,741.3,19.2,3369.0,1254.8,2114.2,-496.3,2284.1,2780.4
2016:Q3,19197.9,12993.1,2729.1,1339.8,8925.0,2564.0,739.3,-3.7,3383.7,1261.4,2122.3,-479.5,2321.1,2800.7
2016:Q4,19304.4,13060.1,2733.6,1360.8,8966.0,2584.6,748.9,55.6,3389.6,1262.5,2127.2,-537.2,2303.8,2841.0
2017:Q1,19398.3,13160.5,2759.5,1371.7,9029.3,2610.4,766.5,7.0,3380.2,1257.2,2123.1,-525.1,2359.9,2885.0
2017:Q2,19506.9,13225.7,2785.8,1389.2,9050.5,2639.8,770.8,26.0,3389.8,1263.9,2125.9,-544.6,2367.9,2912.4
2017:Q3,19660.8,13315.4,2801.8,1424.9,9088.4,2665.2,771.3,55.5,3394.0,1263.1,2130.9,-541.8,2381.8,2923.6
2017:Q4,19882.4,13460.9,2838.1,1477.8,9145.3,2728.9,787.0,42.1,3424.5,1280.0,2144.5,-561.9,2443.5,3005.4
2018:Q1,20044.1,13558.4,2858.9,1496.9,9203.4,2805.3,772.1,34.1,3431.7,1293.0,2138.7,-558.5,2459.3,3017.8
2018:Q2,20150.5,13631.0,2860.8,1505.6,9265.6,2837.1,777.4,0.5,3456.3,1302.3,2154.0,-549.0,2472.7,3021.7
2018:Q3,20276.2,13693.8,2870.0,1516.4,9308.6,2854.6,770.1,92.9,3483.6,1319.1,2164.7,-622.4,2441.8,3064.2
2018:Q4,20304.9,13736.6,2889.7,1518.9,9329.1,2880.4,754.6,89.8,3488.4,1325.3,2163.2,-644.3,2451.9,3096.2
2019:Q1,20431.6,13758.3,2914.9,1505.4,9338.8,2899.8,746.1,114.3,3536.6,1339.8,2197.0,-619.4,2474.9,3094.3
2019:Q2,20602.3,13875.7,2947.9,1549.2,9381.2,2955.0,758.7,82.5,3584.6,1353.4,2231.3,-649.0,2462.4,3111.4
2019:Q3,20843.3,14033.2,2976.4,1585.7,9474.6,2983.5,769.6,67.5,3625.5,1370.3,2255.4,-635.0,2462.9,3097.9
2019:Q4,20985.4,14125.3,2979.1,1598.6,9550.2,2970.3,772.1,25.3,3654.8,1377.8,2277.0,-561.9,2477.9,3039.8
2020:Q1,20709.2,13887.0,3020.0,1534.7,9334.4,2918.1,793.9,-39.9,3694.3,1392.4,2301.8,-544.8,2386.7,2931.5
