date,DIV,NDPI,NPI,OLI,PINTI,PROPI,WSD
2018:Q1,1180.8,15133.1,17204.7,2020.5,1509.5,1472.2,8762.5
2018:Q2,1211.9,15349.1,17407.2,2047.6,1543.3,1479.6,8843.4
2018:Q3,1245.0,15563.1,17648.3,2073.0,1563.0,1499.9,8969.0
2018:Q4,1302.0,15771.0,17852.6,2089.2,1602.2,1529.7,9024.3
2019:Q1,1311.3,15997.3,18152.7,2107.2,1609.2,1534.0,9222.0
2019:Q2,1341.5,16074.9,18292.7,2115.6,1620.0,1535.6,9273.3
2019:Q3,1365.1,16222.1,18417.4,2124.0,1597.6,1570.9,9329.0
2019:Q4,1368.1,16363.7,18589.9,2139.1,1587.3,1582.7,9476.3
2020:Q1,1371.2,16516.2,18768.1,2152.2,1551.0,1583.4,9627.6
2020:Q2,1353.6,18086.1,20198.2,2053.9,1507.7,1429.5,8998.2
2020:Q3,1368.9,17601.1,19851.7,2135.9,1486.9,1710.7,9434.5
2020:Q4,1502.6,17330.3,19708.6,2189.2,1478.0,1674.4,9801.2
2021:Q1,1613.1,19680.5,22224.8,2211.0,1476.5,1699.8,9878.6
2021:Q2,1743.8,18449.2,21117.1,2233.2,1477.8,1848.9,10170.7
2021:Q3,1832.9,18486.9,21227.9,2253.2,1467.2,1870.4,10450.5
2021:Q4,1896.0,18587.0,21425.9,2276.2,1469.7,1855.6,10760.1
2022:Q1,1905.3,18374.4,21633.5,2286.9,1488.3,1836.0,10892.0
2022:Q2,1938.3,18615.8,21913.3,2299.0,1537.6,1849.5,10994.8
2022:Q3,1974.0,19130.9,22354.2,2333.6,1592.0,1889.1,11278.1
2022:Q4,2029.4,19521.1,22714.2,2362.9,1673.5,1901.1,11326.2
2023:Q1,2092.7,20283.4,23108.7,2409.1,1750.7,1933.8,11479.2
2023:Q2,2147.6,20651.0,23461.5,2450.9,1808.1,1931.7,11641.6
2023:Q3,2156.9,20894.6,23735.3,2498.3,1850.8,1943.1,11836.2
2023:Q4,2192.4,21168.0,24034.6,2541.6,1909.4,1959.3,11972.7
2024:Q1,2217.8,21575.4,24478.7,2590.2,1906.7,1982.9,12149.5
2024:Q2,2225.6,21843.2,24800.8,2626.5,1928.0,2013.2,12317.2
2024:Q3,2214.6,22002.6,25021.7,2657.3,1930.2,2031.7,12458.4
2024:Q4,2216.8,22249.5,25322.4,2682.5,1941.7,2064.5,12626.6
2025:Q1,2241.3,22563.7,25717.7,2722.2,1954.5,2103.3,12788.7
2025:Q2,2245.0,22786.6,25987.5,2750.3,1960.6,2105.2,12860.0
2025:Q3,2249.0,22942.9,26197.6,2782.2,1971.1,2117.7,12972.4
2025:Q4,2256.5,23112.4,26422.3,2811.0,1981.9,2112.1,13111.0
